Consumption (kwh), Estimated Cost (p), Start, End
0.065000, 1.82, 2024-01-01T00:00:00+00:00, 2024-01-01T00:30:00+00:00
0.071000, 1.99, 2024-01-01T00:30:00+00:00, 2024-01-01T01:00:00+00:00
0.028000, 0.78, 2024-01-01T01:00:00+00:00, 2024-01-01T01:30:00+00:00
0.022000, 0.62, 2024-01-01T01:30:00+00:00, 2024-01-01T02:00:00+00:00
0.006000, 0.17, 2024-01-01T02:00:00+00:00, 2024-01-01T02:30:00+00:00
0.022000, 0.62, 2024-01-01T02:30:00+00:00, 2024-01-01T03:00:00+00:00
0.018000, 0.50, 2024-01-01T03:00:00+00:00, 2024-01-01T03:30:00+00:00
0.008000, 0.22, 2024-01-01T03:30:00+00:00, 2024-01-01T04:00:00+00:00
0.021000, 0.59, 2024-01-01T04:00:00+00:00, 2024-01-01T04:30:00+00:00
0.006000, 0.17, 2024-01-01T04:30:00+00:00, 2024-01-01T05:00:00+00:00
0.021000, 0.59, 2024-01-01T05:00:00+00:00, 2024-01-01T05:30:00+00:00
0.015000, 0.42, 2024-01-01T05:30:00+00:00, 2024-01-01T06:00:00+00:00
0.011000, 0.31, 2024-01-01T06:00:00+00:00, 2024-01-01T06:30:00+00:00
0.027000, 0.76, 2024-01-01T06:30:00+00:00, 2024-01-01T07:00:00+00:00
0.005000, 0.14, 2024-01-01T07:00:00+00:00, 2024-01-01T07:30:00+00:00
0.022000, 0.62, 2024-01-01T07:30:00+00:00, 2024-01-01T08:00:00+00:00
0.005000, 0.14, 2024-01-01T08:00:00+00:00, 2024-01-01T08:30:00+00:00
0.022000, 0.62, 2024-01-01T08:30:00+00:00, 2024-01-01T09:00:00+00:00
0.020000, 0.56, 2024-01-01T09:00:00+00:00, 2024-01-01T09:30:00+00:00
0.350000, 9.81, 2024-01-01T09:30:00+00:00, 2024-01-01T10:00:00+00:00
0.166000, 4.65, 2024-01-01T10:00:00+00:00, 2024-01-01T10:30:00+00:00
0.136000, 3.81, 2024-01-01T10:30:00+00:00, 2024-01-01T11:00:00+00:00
0.060000, 1.68, 2024-01-01T11:00:00+00:00, 2024-01-01T11:30:00+00:00
0.019000, 0.53, 2024-01-01T11:30:00+00:00, 2024-01-01T12:00:00+00:00
0.012000, 0.34, 2024-01-01T12:00:00+00:00, 2024-01-01T12:30:00+00:00
0.022000, 0.62, 2024-01-01T12:30:00+00:00, 2024-01-01T13:00:00+00:00
0.005000, 0.14, 2024-01-01T13:00:00+00:00, 2024-01-01T13:30:00+00:00
0.023000, 0.64, 2024-01-01T13:30:00+00:00, 2024-01-01T14:00:00+00:00
0.005000, 0.14, 2024-01-01T14:00:00+00:00, 2024-01-01T14:30:00+00:00
0.022000, 0.62, 2024-01-01T14:30:00+00:00, 2024-01-01T15:00:00+00:00
0.013000, 0.36, 2024-01-01T15:00:00+00:00, 2024-01-01T15:30:00+00:00
